Input_Column,Positive_Product,Positive_Product_Code,Positive_Rank,Positive_Score,Top1_Product,Top1_Score,Top10_Contains_Positive,Excel_Row
GALACT POW 200GM 1*200G,GALACT GRANULE 200 GM ELAICHI,421112871,2,0.7847,GALACT PLUS NUTRITION POWDER 200GM,0.8397,True,2
OROFER XT+ SYR 200 ML,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8914,OROFER XT + SUSPENSION 200 ML,0.8914,True,5
GALACT 200GM CHOCO GRANULES 200GM,GALACT GRANULES CHOCOLATE,421112647,7,0.8284,GALACT GRANULES 600GM CHOCOLATE,0.8811,True,8
GALACT LACTATION GRANULES 600G CHOCOLATE FLV,GALACT GRANULES 600GM CHOCOLATE,421113039,1,0.9160,GALACT GRANULES 600GM CHOCOLATE,0.9160,True,13
ASOMEX AT TAB 5MG 10X15 115TAB,ASOMEX AT 2.5 MG TABLET 1X15T,424441921,2,0.9061,ASOMEX AT 5 MG TABLET 1X15T,0.9211,True,21
OROFER XT TAB 5X15 115TAB,OROFER XT TABLET 1x15T,424442006,1,0.8727,OROFER XT TABLET 1x15T,0.8727,True,27
PROXYM ER TAB 10X15 115TAB,PROXYM ER TABLET 1X15T,424441862,1,0.8750,PROXYM ER TABLET 1X15T,0.8750,True,29
SYLATET-500MG TAB 1X10,SYLATE T 500 TABLET,421110143,5,0.7736,SYLATE TABLET 500 MG,0.8305,True,32
TEMSAN-80 H TAB 15*10,TEMSAN 80 H TABLETS 1X15T,424441192,2,0.8228,TEMSAN LN TABLET 10x15T,0.8265,True,34
ASOMEX LT Tab 1X10s,ASOMEX LT 2.5 MG TABLET,424440489,0,,ASOMEX LT TABLET 1X15T,0.8836,False,46
FITJOINT Tab 1X10s,FITJOINT CAPSULES,421112131,2,0.7184,FITJOINT GM TABLETS,0.7867,True,48
ENCICARB 1G INJ,ENCICARB INJECTION 100MG/2ML,422220078,3,0.7748,ENCICARB INJECTION 1K,0.8560,True,50
TEMSAN AM 5. 0(EMQU0018) 0,TEMSAN - AM 5 TABLETS,421110956,1,0.7719,TEMSAN - AM 5 TABLETS,0.7719,True,59
AMARYL M FORET 1 TAB,AMARYL M FORTE 1MG TABLET 10x15T,421113132,3,0.7657,AMARYL M 1MG TABLET 8x20T,0.7778,True,61
OSTERI INJ. 600 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.7746,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.7746,True,67
EMPRI L 10/5 M 1X10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.8857,EMPRI L 10/5MG TABLET 10x10T,0.8857,True,69
OSTERI INJ. 600 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.7746,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.7746,True,75
EMPRI L 10/5 M 1X10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.8857,EMPRI L 10/5MG TABLET 10x10T,0.8857,True,77
VYLDA DM 100/500 1X10,VYLDA DM 100/5/500 TABLET 1x10T,421112638,4,0.8564,VYLDA DM 100/5/1000 TABLET 1x10T,0.8614,True,81
TEMSAN 20 MG TAB F35 15,TEMSAN 20 MG TABLETS 10x15T,424441698,2,0.8454,TEMSAN 20 MG. TABLETS,0.8701,True,82
OROFER XT TAB (15) 10X15,OROFER XT TABLET 1x15T,424442006,1,0.8860,OROFER XT TABLET 1x15T,0.8860,True,84
EMCUREXENNEX GALACT GRANULES 400GM 1X40,GALACT GRANULES 400GM ELAICHI,421113094,1,0.8776,GALACT GRANULES 400GM ELAICHI,0.8776,True,91
LASIX 40MG 11510,LASIX 40 MG TABLET 80x15T,421112913,2,0.8008,LASIX 40 MG/4ML INJECTION,0.8449,True,92
MATERNA HCG 10000 I.U 1s,MATERNA-HCG 10000 IU HP,491110367,1,0.9324,MATERNA-HCG 10000 IU HP,0.9324,True,98
AMARYL M1FORTE 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,2,0.7252,AMARYL MV 1MG TABLET 10x15T,0.7265,True,100
ASOMEX 1.25mg TAB 15 sEMC449 15 s,ASOMEX 1.25 TABLETS 1X15T,424440754,0,,ASOMEX 1.25 MG TABLET,0.8944,False,104
ENCICARB 1K INJ 1 VIALEMC60 1 VIAL,ENCICARB INJECTION 100MG/2ML,422220078,2,0.7724,ENCICARB INJECTION 1K,0.8358,True,105
