idx,PRODUCT_CODE,product_name,BRAND_NAME
0,424440872,A BEC 300 MG TABLET 30s,A-BEC
1,420000001,ABACUS - 50 TAB,ABACUS
2,424441093,A-BEC L TABLETS,A-BEC
3,424441967,A-BEC TABLET 60T,A-BEC
4,421112108,ABICLOR INJECTION,ABICLOR
5,421112147,ABIRACURE 500 TABLETS,ABIRACURE
6,421111654,ABIRACURE TABLET,ABIRACURE
7,424440999,ACEGABA 100 CAPSULE,ACEGABA
8,424442056,ACEGABA 100 CAPSULE 1 X 15 C,ACEGABA
9,424441000,ACEGABA 300 CAPSULE,ACEGABA
10,424441001,ACEGABA 400 CAPSULE,ACEGABA
11,421113194,ACEGABA GRS 300 TABLET 10T,ACEGABA
12,421113195,ACEGABA GRS 600 TABLET 10T,ACEGABA
13,424441216,ACEGABA ME 100 TABLET,ACEGABA
14,424441217,ACEGABA ME 300 TABLETS,ACEGABA
15,421112627,ACEGABA NT 100 TABLET 1x15T,ACEGABA
16,421112686,ACEGABA NT 200 TABLET 1x15T,ACEGABA
17,421112007,ACEGABA-NT 400 TABLET 1x15T,ACEGABA
18,424440251,ACEM - 250 TABLET,ACEM
19,424440241,ACEM - 500 TABLET,ACEM
20,420030001,ADBETA H TABLETS,ADBETA
21,423330002,ADBETA TABLETS 12.5 MG,ADBETA
22,423330003,ADBETA TABLETS 25 MG,ADBETA
23,421110833,ADHALER,ADHALER
24,423330374,ADK2 CAPSULES,ADK2
25,420030004,ADMAX  CAPSULES,ADMAX
26,420030005,ADMAX R 10X10 C,ADMAX
27,423330234,ADMAX XT CAPSULES,ADMAX
28,423331234,AFPIN-CL CAPSULES,AFPIN
29,421110409,AGRABAN INFUSION 5 MG / 100 ML,AGRABAN
30,423331181,ALATRO TABLETS,ALATRO
31,421112547,ALBENDAZOLE TABLET 400MG 1T,ALBENDAZOLE
32,423330007,ALWEL   5 TABLETS,ALWEL
33,423330525,ALWEL 10 MG TABLETS,ALWEL
34,421113127,AMARYL 1MG TABLET 10x30T,AMARYL
35,421113128,AMARYL 2MG TABLET 15x30T,AMARYL
36,421113129,AMARYL 3MG TABLET 10x30T,AMARYL
37,421113130,AMARYL M 1MG TABLET 8x20T,AMARYL
38,421113131,AMARYL M 2MG TABLET 8x20T,AMARYL
39,421113132,AMARYL M FORTE 1MG TABLET 10x15T,AMARYL
40,421113133,AMARYL M FORTE 2MG TABLET 10x15T,AMARYL
41,421113134,AMARYL MV 1MG TABLET 10x15T,AMARYL
42,421113135,AMARYL MV 2MG TABLET 10x15T,AMARYL
43,421110654,AMAZIL 10 TABLETS,AMAZIL
44,421110653,AMAZIL 5 TABLETS,AMAZIL
45,423330471,AMENTONE TABLETS,AMENTONE
46,423331553,AMINOGEST CAPSULES,AMINOGEST
47,423331552,AMINOGEST SUSPENSION,AMINOGEST
48,423330568,AMITRUST 100 INJECTION,AMITRUST
49,423330896,AMITRUST 250 INJECTION,AMITRUST
50,423330570,AMITRUST 500 INJECTION,AMITRUST
51,423331089,AMLENOX ORAL PASTE 5 GM,AMLENOX
52,423331227,AMPRO H.P. POWDER 200 GM,AMPRO
53,423331228,AMPRO KID POWDER 200 GM,AMPRO
54,423331229,AMPRO MOM POWDER 200 GM,AMPRO
55,423331205,ANADAY TABLETS,ANADAY
56,423331203,ANCOOL SF 200 ML SUSPENSION,ANCOOL
57,423331267,ANCOOL SUSPENSION 170 ML,ANCOOL
58,423331543,ANCOOL SUSPENSION 200 ML,ANCOOL
