Input_Column,Positive_Product,Positive_Brand,Positive_Rank_FT,Positive_Score_FT,Rank1_Product,Rank1_Brand,Rank1_Score_FT,Score_Delta,Baseline_Rank,Categories,Fixability,Correct_Strengths,Pred_Strengths,Correct_Forms,Pred_Forms
SYLATET-500MG TAB 1X10,SYLATE T 500 TABLET,SYLATE,2,0.7860,SYLATE TABLET 500 MG,SYLATE,0.7979,0.0119,5,pack/sub-variant confusion,A,[],"[('500', 'MG')]",TABLET,TABLET
FITJOINT Tab 1X10s,FITJOINT CAPSULES,FITJOINT,2,0.7408,FITJOINT GM TABLETS,FITJOINT,0.7478,0.0070,2,dosage-form confusion,A,[],[],CAPSULES,TABLETS
ENCICARB 1G INJ,ENCICARB INJECTION 100MG/2ML,ENCICARB,2,0.6846,ENCICARB INJECTION 1K,ENCICARB,0.7679,0.0833,3,pack/sub-variant confusion,A,"[('100', 'MG'), ('2', 'ML')]",[],INJECTION,INJECTION
AMARYL M FORET 1 TAB,AMARYL M FORTE 1MG TABLET 10x15T,AMARYL,2,0.7841,AMARYL M 1MG TABLET 8x20T,AMARYL,0.8159,0.0318,3,pack/sub-variant confusion,A,"[('1', 'MG')]","[('1', 'MG')]",TABLET,TABLET
VYLDA DM 100/500 1X10,VYLDA DM 100/5/500 TABLET 1x10T,VYLDA,2,0.9629,VYLDA DM 100/10/500 TABLET 1x10T,VYLDA,0.9646,0.0017,4,very similar legitimate products,C,[],[],TABLET,TABLET
ENCICARB 1K INJ 1 VIALEMC60 1 VIAL,ENCICARB INJECTION 100MG/2ML,ENCICARB,2,0.6635,ENCICARB INJECTION 1K,ENCICARB,0.7651,0.1016,2,pack/sub-variant confusion,A,"[('100', 'MG'), ('2', 'ML')]",[],INJECTION,INJECTION
CORDARONE 100X20X15 20 20,CORDARONE X 200 MG TABLET 10x15T,CORDARONE,2,0.8222,CORDARONE 100 MG TABLET 20x15T,CORDARONE,0.9197,0.0975,2,strength/dosage confusion; pack/sub-variant confusion,A,"[('200', 'MG')]","[('100', 'MG')]",TABLET,TABLET
GALOP PLUS 5X1X10 1*10,GALOP PLUS-5 TABLETS,GALOP,2,0.8695,GALOP PLUS-10 TABLETS,GALOP,0.8928,0.0233,3,OCR/noise issue,A,[],[],TABLETS,TABLETS
VYLDA OD 10 TAB,VYLDA OD 50 TABLET 1X15T,VYLDA,2,0.7918,VYLDA OD 100 TABLETS,VYLDA,0.8602,0.0684,0,pack/sub-variant confusion,A,[],[],TABLET,TABLETS
LOBACOR 510T 10T,LOBACOR 5 TABLET,LOBACOR,2,0.6181,LOBACOR 10 TABLET,LOBACOR,0.7307,0.1126,2,very similar legitimate products,C,[],[],TABLET,TABLET
S NUMLO 5 4515,S-NUMLO 5 MG TABLET 1x15 T,S-NUMLO,2,0.7688,S-NUMLO 5 MG TABLET,S-NUMLO,0.7802,0.0114,2,pack/sub-variant confusion,A,"[('5', 'MG')]","[('5', 'MG')]",TABLET,TABLET
LASIX-40MG DPCO,LASIX 40 MG TABLET 80x15T,LASIX,2,0.7156,LASIX 40 MG/4ML INJECTION,LASIX,0.7192,0.0036,2,dosage-form confusion,A,"[('40', 'MG')]","[('40', 'MG'), ('4', 'ML')]",TABLET,INJECTION
ATOREC-10 TAB D 1X10TAB,ATOREC 10 MG TABLET,ATOREC,2,0.7586,ATOREC - D 3 TABLETS,ATOREC,0.8144,0.0558,2,pack/sub-variant confusion,A,"[('10', 'MG')]",[],TABLET,TABLETS
VYLDA-DM100/1000/11X10TAB,VYLDA DM 100/5/1000 TABLET 1x10T,VYLDA,2,0.8936,VYLDA DM 100/10/1000 TABLET 1x10T,VYLDA,0.8971,0.0035,2,very similar legitimate products,C,[],[],TABLET,TABLET
COGNITRAC 60MG INJ 60MG 1X60MG,COGNITRAC L INJECTION,COGNITRAC,2,0.6818,COGNITRAC INJECTION 60 MG,COGNITRAC,0.8581,0.1763,2,pack/sub-variant confusion,A,[],"[('60', 'MG')]",INJECTION,INJECTION
EFNOCAR MX 40/25 T 10T,EFNOCAR-T 40/40  TABLET,EFNOCAR,2,0.8197,EFNOCAR-MX 40/25 TABLETS,EFNOCAR,0.9226,0.1029,3,very similar legitimate products,C,[],[],TABLET,TABLETS
VYLDA 50 2X15EMC198 2 *15,VYLDA TABLETS 1X15 T,VYLDA,2,0.7822,VYLDA OD 50 TABLET 1X15T,VYLDA,0.7826,0.0004,1,OCR/noise issue,A,[],[],TABLETS,TABLET
TEMSAN CT 40/6.25 10*10S,TEMSAN CT-6.25 TABLETS,TEMSAN,2,0.8675,TEMSAN CT 40/12.5 MG TABLET 10X10,TEMSAN,0.8838,0.0163,2,OCR/noise issue; pack/sub-variant confusion,A,[],"[('12.5', 'MG')]",TABLETS,TABLET
CARDACE AM 55X2X15BOX 10 S,CARDACE AM 5 TABLET 10x15T,CARDACE,2,0.8281,CARDACE AM 10 TABLET 10x15T,CARDACE,0.8419,0.0138,2,very similar legitimate products,C,[],[],TABLET,TABLET
CONSIUM 100 INJ UNSURE,CONSIUM 100(CARMUSTINE FOR INJ.),CONSIUM,2,0.6995,DILUENT FOR CONSIUM 100 INJ,CONSIUM,0.8238,0.1243,2,very similar legitimate products,C,[],[],INJ,INJ
ASOMEX-TM510X1515 S,ASOMEX - TM 5 TABLETS 1X15T,ASOMEX,2,0.7684,ASOMEX - TM TABLETS 1X15T,ASOMEX,0.8285,0.0601,2,very similar legitimate products,C,[],[],TABLETS,TABLETS
TEMSAN-80 TAB 115(1015)BOX,TEMSAN 80 MG TABLETS 10x15T,TEMSAN,2,0.6515,TEMSAN 80 MG. TABLETS,TEMSAN,0.6525,0.0010,0,pack/sub-variant confusion,A,"[('80', 'MG')]","[('80', 'MG')]",TABLETS,TABLETS
A-BEC 300MG 30TAB,A-BEC TABLET 60T,A-BEC,2,0.7122,A BEC 300 MG TABLET 30s,A-BEC,0.8835,0.1713,3,pack/sub-variant confusion,A,[],"[('300', 'MG')]",TABLET,TABLET
DAPAGZA M 10/1000 \*10 TA,DAPAGZA M10/1000 1X10T,DAPAGZA,2,0.8780,DAPAGZA M 5/1000 1X10T,DAPAGZA,0.9301,0.0521,3,OCR/noise issue; product-family/sub-brand confusion,A,[],[],,
TEMSAN CT 40/6.25 10,TEMSAN CT-6.25 TABLETS,TEMSAN,2,0.8815,TEMSAN CT 40/12.5 MG TABLET 10X10,TEMSAN,0.8862,0.0047,1,pack/sub-variant confusion,A,[],"[('12.5', 'MG')]",TABLETS,TABLET
TEMSAN BS 40/2. 1X10 PCS,TEMSAN BS 5/40 TABLET 10x10T,TEMSAN,2,0.8349,TEMSAN BS 2.5/40 TABLET 10x10T,TEMSAN,0.8690,0.0341,2,very similar legitimate products,C,[],[],TABLET,TABLET
