Input_Column,Positive_Product,Positive_Product_Code,Positive_Rank,Positive_Score,Top1_Product,Top1_Score,Top10_Contains_Positive,Excel_Row
GALACT POW 200GM 1*200G,GALACT GRANULE 200 GM ELAICHI,421112871,1,0.7983,GALACT GRANULE 200 GM ELAICHI,0.7983,True,2
OROFER XT+ SYR 200 ML,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8996,OROFER XT + SUSPENSION 200 ML,0.8996,True,5
GALACT 200GM CHOCO GRANULES 200GM,GALACT GRANULES CHOCOLATE,421112647,5,0.6845,GALACT GRANULE 200 GM ELAICHI,0.8374,True,8
GALACT LACTATION GRANULES 600G CHOCOLATE FLV,GALACT GRANULES 600GM CHOCOLATE,421113039,1,0.9094,GALACT GRANULES 600GM CHOCOLATE,0.9094,True,13
ASOMEX AT TAB 5MG 10X15 115TAB,ASOMEX AT 2.5 MG TABLET 1X15T,424441921,4,0.6992,ASOMEX AT 5 MG TABLET 1X15T,0.8296,True,21
OROFER XT TAB 5X15 115TAB,OROFER XT TABLET 1x15T,424442006,1,0.9155,OROFER XT TABLET 1x15T,0.9155,True,27
PROXYM ER TAB 10X15 115TAB,PROXYM ER TABLET 1X15T,424441862,1,0.8526,PROXYM ER TABLET 1X15T,0.8526,True,29
SYLATET-500MG TAB 1X10,SYLATE T 500 TABLET,421110143,2,0.7860,SYLATE TABLET 500 MG,0.7979,True,32
TEMSAN-80 H TAB 15*10,TEMSAN 80 H TABLETS 1X15T,424441192,1,0.9246,TEMSAN 80 H TABLETS 1X15T,0.9246,True,34
ASOMEX LT Tab 1X10s,ASOMEX LT 2.5 MG TABLET,424440489,3,0.8336,ASOMEX LT TABLET 1X15T,0.8664,True,46
FITJOINT Tab 1X10s,FITJOINT CAPSULES,421112131,2,0.7408,FITJOINT GM TABLETS,0.7478,True,48
ENCICARB 1G INJ,ENCICARB INJECTION 100MG/2ML,422220078,2,0.6846,ENCICARB INJECTION 1K,0.7679,True,50
TEMSAN AM 5. 0(EMQU0018) 0,TEMSAN - AM 5 TABLETS,421110956,1,0.8398,TEMSAN - AM 5 TABLETS,0.8398,True,59
AMARYL M FORET 1 TAB,AMARYL M FORTE 1MG TABLET 10x15T,421113132,2,0.7841,AMARYL M 1MG TABLET 8x20T,0.8159,True,61
OSTERI INJ. 600 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8890,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8890,True,67
EMPRI L 10/5 M 1X10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.9511,EMPRI L 10/5MG TABLET 10x10T,0.9511,True,69
OSTERI INJ. 600 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8890,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8890,True,75
EMPRI L 10/5 M 1X10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.9511,EMPRI L 10/5MG TABLET 10x10T,0.9511,True,77
VYLDA DM 100/500 1X10,VYLDA DM 100/5/500 TABLET 1x10T,421112638,2,0.9629,VYLDA DM 100/10/500 TABLET 1x10T,0.9646,True,81
TEMSAN 20 MG TAB F35 15,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.8231,TEMSAN 20 MG TABLETS 10x15T,0.8231,True,82
OROFER XT TAB (15) 10X15,OROFER XT TABLET 1x15T,424442006,1,0.9561,OROFER XT TABLET 1x15T,0.9561,True,84
EMCUREXENNEX GALACT GRANULES 400GM 1X40,GALACT GRANULES 400GM ELAICHI,421113094,1,0.7915,GALACT GRANULES 400GM ELAICHI,0.7915,True,91
LASIX 40MG 11510,LASIX 40 MG TABLET 80x15T,421112913,1,0.7851,LASIX 40 MG TABLET 80x15T,0.7851,True,92
MATERNA HCG 10000 I.U 1s,MATERNA-HCG 10000 IU HP,491110367,1,0.9062,MATERNA-HCG 10000 IU HP,0.9062,True,98
AMARYL M1FORTE 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,1,0.7360,AMARYL M FORTE 1MG TABLET 10x15T,0.7360,True,100
ASOMEX 1.25mg TAB 15 sEMC449 15 s,ASOMEX 1.25 TABLETS 1X15T,424440754,1,0.8428,ASOMEX 1.25 TABLETS 1X15T,0.8428,True,104
ENCICARB 1K INJ 1 VIALEMC60 1 VIAL,ENCICARB INJECTION 100MG/2ML,422220078,2,0.6635,ENCICARB INJECTION 1K,0.7651,True,105
ASOMEX 1.25MG TAB 1X15S,ASOMEX 1.25 TABLETS 1X15T,424440754,1,0.9765,ASOMEX 1.25 TABLETS 1X15T,0.9765,True,106
XGRAST 300MCG INJ 1 PFS 1 PFS,XGRAST 300 MCG INJ 1 PFS,492220092,1,0.9618,XGRAST 300 MCG INJ 1 PFS,0.9618,True,110
SNUMLO 5 Mg 20BOX 15*2tab,S-NUMLO 5 MG TABLET 1x15 T,424441204,1,0.7400,S-NUMLO 5 MG TABLET 1x15 T,0.7400,True,114
"FERIUM XT.TAB. 15""S",FERIUM XT TABLET 10x15T,424441955,1,0.8932,FERIUM XT TABLET 10x15T,0.8932,True,115
"S-NUMLO 2.5MG 15""S",S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.9188,S-NUMLO 2.5 MG TABLET 1x15 T,0.9188,True,119
"EMLEVO -500 15""S",EMLEVO 500 TABLET 1 X 15 T,421113002,1,0.9059,EMLEVO 500 TABLET 1 X 15 T,0.9059,True,123
ASOMEX 2.5 MG 1X15AB Pcs,ASOMEX 2.5 MG TABLET 1X15T,424441736,1,0.8687,ASOMEX 2.5 MG TABLET 1X15T,0.8687,True,125
OSTERI INJ 600MG PEN,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8963,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8963,True,128
CORDARONE 100X20X15 20 20,CORDARONE X 200 MG TABLET 10x15T,421112910,2,0.8222,CORDARONE 100 MG TABLET 20x15T,0.9197,True,138
CORDARONE TAB 200MG 15 S,CORDARONE X 200 MG TABLET 10x15T,421112910,1,0.8918,CORDARONE X 200 MG TABLET 10x15T,0.8918,True,139
GALOP PLUS 5X1X10 1*10,GALOP PLUS-5 TABLETS,421111957,2,0.8695,GALOP PLUS-10 TABLETS,0.8928,True,142
H)CARDACE 5MG 15S,CARDACE 5 MG TABLET 10x15T,421112893,1,0.8536,CARDACE 5 MG TABLET 10x15T,0.8536,True,152
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,1,0.8758,ASOMEX LT TABLET 1X15T,0.8758,True,153
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,1,0.8758,ASOMEX LT TABLET 1X15T,0.8758,True,154
ROSUVAS-EZ 10 TAB 110S 27553 10S,ROSUVAS EZ 20 MG TABLET 1x10T,421112688,3,0.7658,ROSUVAS EZ 40 TABLET 1x10T,0.8240,True,158
MESALACURE TABLET 1.2GM NEW MRP Pcs.,MESALACURE TABLET  1.2GM,424440981,1,0.8214,MESALACURE TABLET  1.2GM,0.8214,True,169
OROFER XT 200M 200,OROFER XT + SUSPENSION 200 ML,424441225,1,0.9264,OROFER XT + SUSPENSION 200 ML,0.9264,True,172
PROXYM ER300 TAB,PROXYM ER 200 TABLETS,424441015,1,0.7918,PROXYM ER 200 TABLETS,0.7918,True,174
OSTERI INJ.600MCG PENNET30 1 UNIT,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8140,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8140,True,177
VYLDA OD 10 TAB,VYLDA OD 50 TABLET 1X15T,421112490,2,0.7918,VYLDA OD 100 TABLETS,0.8602,True,179
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.6181,LOBACOR 10 TABLET,0.7307,True,180
ROSUVAS EZ 20 TAB-10STAB,ROSUVAS EZ 20 MG TABLET 1x10T,421112688,1,0.9217,ROSUVAS EZ 20 MG TABLET 1x10T,0.9217,True,181
FERIUM CHEWABLE TABLET10-10 T,FERIUM CHEWABLE TABLETS 10X10 T,420000222,1,0.9814,FERIUM CHEWABLE TABLETS 10X10 T,0.9814,True,183
AMARYL.M.2MG.TAB 1*20,AMARYL 2MG TABLET 15x30T,421113128,5,0.7443,AMARYL M 2MG TABLET 8x20T,0.8959,True,189
OROFER FCM INJEMCURE VIAL,OROFER FCM  INJECTION 500MG/10ML,421111114,1,0.8532,OROFER FCM  INJECTION 500MG/10ML,0.8532,True,196
S NUMLO 5 4515,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.7688,S-NUMLO 5 MG TABLET,0.7802,True,210
DAONIL--M 10 15,DAONIL M TABLETS 1X15 T,421111961,1,0.8992,DAONIL M TABLETS 1X15 T,0.8992,True,217
OROFER XT  200ML SYP 1 1,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8594,OROFER XT + SUSPENSION 200 ML,0.8594,True,218
LASIX-40MG DPCO,LASIX 40 MG TABLET 80x15T,421112913,2,0.7156,LASIX 40 MG/4ML INJECTION,0.7192,True,219
NUMLO -AT TAB 10X15 15 TAB,NUMLO-AT TABLET 1X15 T,424441936,1,0.9189,NUMLO-AT TABLET 1X15 T,0.9189,True,228
S-NUMLO- 5 MG TAB 20X15 15 TAB,S-NUMLO 5 MG TABLET 1x15 T,424441204,1,0.9550,S-NUMLO 5 MG TABLET 1x15 T,0.9550,True,230
TEMSAN - 20 TAB 10X15 15 TAB,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.9283,TEMSAN 20 MG TABLETS 10x15T,0.9283,True,231
TEMSAN - 80-H TAB 10X15 15 TAB,TEMSAN 80 H TABLETS 1X15T,424441192,1,0.9279,TEMSAN 80 H TABLETS 1X15T,0.9279,True,234
ASOMEX - 2.5 MG TAB 20X15 15 TAB,ASOMEX 2.5 MG TABLET 1X15T,424441736,1,0.9022,ASOMEX 2.5 MG TABLET 1X15T,0.9022,True,237
ASOMEX - 5 MG TAB20X15 15 TAB,ASOMEX 5 MG TABLET 1x15T,424441737,1,0.8694,ASOMEX 5 MG TABLET 1x15T,0.8694,True,238
ASOMEX - D TAB10X15 15 TAB,ASOMEX D TABLET 1x15T,424440759,1,0.9280,ASOMEX D TABLET 1x15T,0.9280,True,239
ASOMEX -TM -5 TAB10X15 15 TAB,ASOMEX - TM 5 TABLETS 1X15T,421111383,1,0.9359,ASOMEX - TM 5 TABLETS 1X15T,0.9359,True,242
EPITRIL.25 TAB 1X10TAB,EPITRIL 0.25 MG TABLET,424441023,1,0.8998,EPITRIL 0.25 MG TABLET,0.8998,True,247
FULVIRA INJ2X5ML 2X5ML,FULVIRA 250 MG INJ 2X5 ML PFS,421112211,1,0.8000,FULVIRA 250 MG INJ 2X5 ML PFS,0.8000,True,248
OSTERI INJ NEEDLEFREE 1PCS,OSTERI INJECTION NEEDLES,421111705,1,0.7698,OSTERI INJECTION NEEDLES,0.7698,True,252
OROFER XT DROPSH.S 15ML PCS,OROFER XT DROPS,424441717,1,0.8471,OROFER XT DROPS,0.8471,True,259
OROFER-XT SY. 1X200,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8779,OROFER XT + SUSPENSION 200 ML,0.8779,True,260
OROFER FCM INJ 1K 10ML 1X10ML,OROFER FCM  INJECTION 1K,421111805,1,0.8834,OROFER FCM  INJECTION 1K,0.8834,True,265
NUCORIL 5 TAB 1s,NUCORIL - 5 TABLETS 1X10 T,424441444,1,0.8653,NUCORIL - 5 TABLETS 1X10 T,0.8653,True,267
EMPRI L TAB 10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.8973,EMPRI L 10/5MG TABLET 10x10T,0.8973,True,276
TEMSAN-80 H TAB 15*10,TEMSAN 80 H TABLETS 1X15T,424441192,1,0.9246,TEMSAN 80 H TABLETS 1X15T,0.9246,True,278
ATOREC-10 TAB D 1X10TAB,ATOREC 10 MG TABLET,424441079,2,0.7586,ATOREC - D 3 TABLETS,0.8144,True,291
EMSITA M SR 100/1000 1X10TAB,EMSITA M SR 100/1000 1X10T,421112596,1,0.9836,EMSITA M SR 100/1000 1X10T,0.9836,True,292
OSTERI INJ 600 MC,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8904,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8904,True,293
MATERNA HMG HP 1200IU 1 VIAL,MATERNA HMG HP 1200 IU/4ML MD,421112530,1,0.9014,MATERNA HMG HP 1200 IU/4ML MD,0.9014,True,295
XGRAST INJ 300MCG 1 1 VIAL,XGRAST 300 MCG INJ 1 PFS,492220092,1,0.8416,XGRAST 300 MCG INJ 1 PFS,0.8416,True,296
PROXYM ER-300 TAB 15;S,PROXYM ER 200 TABLETS 15 T,424441863,1,0.9203,PROXYM ER 200 TABLETS 15 T,0.9203,True,300
PROXYM ER-300 TAB 15;S,PROXYM ER 200 TABLETS 15 T,424441863,1,0.9203,PROXYM ER 200 TABLETS 15 T,0.9203,True,302
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.6181,LOBACOR 10 TABLET,0.7307,True,306
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.6181,LOBACOR 10 TABLET,0.7307,True,307
