PRODUCT_NAME,MATERIAL DESCRIPTION
EMANZEN 5 MG TAB 10 S,EMANZEN TABLET 5 MG
EMPROGEST 200 INJ 2ML,EMPROGEST-200 INJECTION
TEMSAN 80MG-15s,TEMSAN 80 MG TABLETS 10x15T
NUMLO-AT 1X15 10X15,NUMLO-AT TABLET 1X15 T
TWINAQT TABLETS 30T 30 TAB,TWINAQT TABLETS 30 T
Vylda Dm 100/10/500 10ta,VYLDA DM 100/10/500 TABLET 1x10T
PROXYM ER 200MG TAE 15S,PROXYM ER 200 TABLETS 15 T
OSTERI INJ.600MCG/2.4ML PCS,OSTERI INJ.600MCG /2.4MLPEN DEVICE
TEMSAN LN TABS,TEMSAN LN TABLET 10x15T
EMILDAP GM 10/1/1000 TAB 10TAB,EMILDAP GM 10/1/1000 TABLET 10x10T
ASOMAX D 5~ 10T,ASOMEX D 5 TABLET
NEUAL 5MG TAB 10S,NEUAL-5 TABLETS
EMTAF B 30 S,EMTAF-B TABLETS
TEMSAN AM 5 TABS 1X15,TEMSAN AM-5 TABLETS 1X15 T
EXHEP-60MG-INJ 0.6M,EXHEP 60 INJECTION
IMTUS 40 MG. 1 VIAL,IMTUS 40 MG INJECTION
FERRI INJ MFG EMC,FERRI INJECTION
VINGRAF 2MG CAPSULES 110,VINGRAF 2 MG CAPSULE 6X10
TELSITE-AM.TAB. 10 TAB,TELSITE AM TABLET 10x10T
DYDROFEM SR 30 10 S,DYDROFEM SR 30 TABLET 3x10T
SEMI XILIA MP 1 MG TAB 10TAB PCS,SEMI XILIA MP 1 TABLETS
SEVCAR 400MG TAB,SEVCAR-400 TABLETS
PAUSE-XT TAB 110T,PAUSE-XT TABLETS
ENHEMO 500 TAB. 10.,ENHEMO 500 TABLET 10x10T
CONSIVAS 5 10T,CONSIVAS-5 TABLETS
DENLAFAX-100 TABS. 1*10,DENLAFAX-100 TABLETS
CARDACE AM 5 5MG TAB 15T,CARDACE AM 5 TABLET 10x15T
FLOFRE 10 TAB,FLOFRE 10 TABLETS
OROFER CAPS 10S 10s,OROFER CAPSULES
ASOMET XL 2.5 10S,ASOMET XL TABLET
RELUDO TAB 1X10,RELUDRO TABLET 10T
ZEMCIFER XT SYP 150ML,ZEMCIFER  XT SUSPENSION
TEMSAN AM 1 *15,TEMSAN - AM TABLETS 1X15T
CALONAT-D3 GRANULES 1 S,CALONAT - D3 GRANULES
EMPRI L 25/5 TAB 10 S,EMPRI L 25/5MG TABLET 10x10T
Amaryl M forte2mg 15s,AMARYL M FORTE 2MG TABLET 10x15T
