PRODUCT_NAME,MATERIAL DESCRIPTION
OROFER XT PLUS SUS,OROFER XT + SUSPENSION 200 ML
OROFER D3 TAB 110,OROFER D3 TABLETS 1X10 T
TEMSAN-40,TEMSAN 40 MG. TABLETS
DILPRA OD 250MG TAB 10S,DILPRA OD 250 TABLETS
TEMSAN CT TABS 110,TEMSAN 80 CT TABLETS
EMSITA GM 50/1/500 T 1*10,EMSITA GM 50/1/500 TABLET 10x10T
RIFACLEAN 200MG TABS 10S,RIFACLEAN  200 TABLET
XILIA-M 2 TABLET 10S,XILIA - M 2 TABLETS
EMSITA 50MG TAB 10;S,EMSITA 50 MG TABLET 1X10T
EMSTAR 500MG INJECTION,EMSTAR 500 MG INJ 1 VIAL
G3N-2.6 TAB,G3N - 2.6 TABLET
FERIUM D3 TAB 10 TAB,FERIUM D3 TABLET
VYLDA-D 100/10 TAB 1*10S,VYLDA D100/10 TABLET 1X10T
STROCOZ SYRUP 60ML NOS,STROCOZ SYRUP 60 ML
RACIPER-L CAP 10,RACIPER -L CAPSULES
SKIZOTUS-OD 200MG 10 T 10 TAB,SKIZOTUS OD 200 TABLET
CARDACE H 5MG 15s,CARDACE H 5 TABLET 10x15T
ANTIPLAR PLUS CAPS 10s,ANTIPLAR PLUS CAPSULES
AUGPEN 300 IV VIAL,AUGPEN I.V. 300 MG INJECTION
TEMSAN BS 2.5/40 MG 10 TAB,TEMSAN BS 2.5/40 TABLET 10x10T
EXDUO 50-TABLET,EXDUO 50 TABLET 1x10T
HOSIT-FE TAB 10 TAB,HOSIT FE TABLETS
HOSIT CA TAB 115~,HOSIT CA TABLET 1x15T
XILIA M2 2MG TABS 10S,XILIA - M 2 TABLETS
CONSIVAS -10 MG TAB 10,CONSIVAS 10 MG TABLET 10X10
EMSTAR 2.0 INJ VIAL,EMSTAR 2.0 INJECTION
EMSITA M 50/1000 TAB 10S,EMSITA M 50/1000 1X10T
ASOMEX 5MG TAB 1*10S,ASOMEX 5 MG TABLET
DYDROFEM TAB 30;S,DYDROFEM TABLET 1X30T
OROFER XT VIALS 1*30,OROFER XT TABLET 1X30 T
ENCICARB 500 MG INJ 10 ML 10 ML,ENCICARB INJECTION 500MG/10ML
ENHEMO 500MG 10TAB,ENHEMO 500 TABLET 10x10T
AQUAOAT BATHING BAR 75GM.,AQUA OAT BATHING BAR 75 GM
ATOREC CV 20MG CAPS 10S,ATOREC CV 20 CAPSULES
TRIOLVANCE 40 TAB. 10S,TRIOLVANCE 40 TABLETS
OLMEGARD CT TAB,OLMEGARD CT TABLET
